Work Order Number,Status,Status Text,Category Code,Category Text,Division,Division Text,Department,Department Text,Priority,Priority Text,Total Cost,Quantity,Actual Labor Hours,Actual Labor Cost,Actual Equip Cost,Actual Material Cost,Contractor Cost,Misc. Cost,Creation Date,Status Date,Start Date,End Date,Duration Actual(Hrs),Billing Required,Main Task,Main Task Text,Cause,Cause Text,Problem,Problem Text,Desc 1,Desc 2,Asset,Assigned Crew,Assigned Crew Text,Supervisor,LeadWorker Id,Street Address,Street Direction,Street Name,Street Type,Loc Zip Code,Street 2 Direction,Street 2 Name,Street 2 Type,Project Number,Building Number,Facility Location,Route (Geographic),Route (Geographic) Text,PM Trigger,PM Trigger Text
18-001064,999,Complete,STT7,Street Lighting,OPSTT,Traffic,STT,Traffic,,,85.98,0,1,37.61,31.28,17.09,0,0,9/17/2018 0:00,12/17/2018 0:00,9/14/2018 0:00,9/14/2018 0:00,0,FALSE,STT3,Streetlight Relamps,STTC3,Reactive Maintenance,STTP5,Streetlight Out,,,POLES1431,,,,,,,,,,,,,,,,,,,
18-001211,999,Complete,STT7,Street Lighting,OPSTT,Traffic,STT,Traffic,,,39.2,0,0.33,11.79,10.32,17.09,0,0,9/23/2018 0:00,12/17/2018 0:00,9/20/2018 0:00,9/20/2018 0:00,0,FALSE,STT3,Streetlight Relamps,STTC3,Reactive Maintenance,STTP5,Streetlight Out,,,POLES1480,,,,,,,,,,,,,,,,,,,
18-000005,999,Complete,STT3,Pole,OPSTT,Traffic,STT,Traffic,,,160.1,1,2,83.32,31.28,45.5,0,0,6/18/2018 0:00,12/14/2018 0:00,6/18/2018 0:00,6/18/2018 0:00,0,FALSE,STT21,Signal Indication Maintenance,STTC3,Reactive Maintenance,STTP4,Routine Maintenance,Signal Pole,Boulder Dr @ Windsor Rd - Signal Pole on NWC,POLES1538,,,,,,,Boulder,Dr,,,Windsor Rd,,,,,,,,
18-000904,999,Complete,STT3,Pole,OPSTT,Traffic,STT,Traffic,,,54.9,1,0.66,27.49,10.32,17.09,0,0,8/23/2018 0:00,12/17/2018 0:00,8/23/2018 0:00,8/23/2018 0:00,0,FALSE,STT3,Streetlight Relamps,STTC3,Reactive Maintenance,STTP4,Routine Maintenance,,,POLES1608,,,,,,,,,,,,,,,,,,,
18-000897,999,Complete,STT3,Pole,OPSTT,Traffic,STT,Traffic,,,154.54,1,2,83.32,10.32,60.9,0,0,8/23/2018 0:00,12/17/2018 0:00,8/23/2018 0:00,8/23/2018 0:00,0,FALSE,STT3,Streetlight Relamps,STTC3,Reactive Maintenance,STTP1,Systematic Relamps,,,POLES1611,,,,,,,,,,,,,,,,,,,
18-000896,999,Complete,STT3,Pole,OPSTT,Traffic,STT,Traffic,,,79.26,1,1,41.66,15.64,21.96,0,0,8/23/2018 0:00,12/17/2018 0:00,8/22/2018 0:00,8/22/2018 0:00,0,FALSE,STT3,Streetlight Relamps,STTC3,Reactive Maintenance,STTP1,Systematic Relamps,,,POLES1611,,,,,,,,,,,,,,,,,,,
18-000218,999,Complete,STT3,Pole,OPSTT,Traffic,STT,Traffic,,,48.13,1,1,41.66,6.47,0,0,0,7/3/2018 0:00,12/14/2018 0:00,7/3/2018 0:00,7/3/2018 0:00,0,FALSE,STT29,Perdestrian Signals,SWT3,Reactive Maintenance,STTP30,Check/Inspect Operation,,,POLES1612,,,,,,,,,,,,,,,,,,,
19-000044,800,Closed In Field,STT7,Street Lighting,OPSTT,Traffic,STT,Traffic,,,238.7,0,2,75.22,163.48,0,0,0,1/7/2019 0:00,1/7/2019 0:00,1/4/2019 0:00,1/4/2019 0:00,0,FALSE,STT10,Pole Maintenance,STTC3,Reactive Maintenance,STTP3,Vehicle Accident,,,POLES1629,,,,,,,,,,,,,,,,,,,
19-000841,800,Closed In Field,STTSE,Special Events,OPSTT,Traffic,STT,Traffic,,,121.08,0,2,95.22,25.86,0,0,0,6/13/2019 0:00,6/8/2019 0:00,6/8/2019 0:00,6/8/2019 0:00,0,FALSE,STT41,Special Event Electrical Maintenance,STTC3,Reactive Maintenance,STTP30,Check/Inspect Operation,,,POLES1639,,,,,,,,,,,,,,,,,,,
18-001188,999,Complete,STT7,Street Lighting,OPSTT,Traffic,STT,Traffic,,,46.86,0,0.5,17.87,15.64,13.35,0,0,9/21/2018 0:00,12/17/2018 0:00,9/12/2018 0:00,9/12/2018 0:00,0,FALSE,STT3,Streetlight Relamps,STTC3,Reactive Maintenance,STTP1,Systematic Relamps,,,POLES1645,,,,,,,,,,,,,,,,,,,
19-000839,999,Complete,STT7,Street Lighting,OPSTT,Traffic,STT,Traffic,,,227.88,0,3,107.21,93.84,26.83,0,0,6/13/2019 0:00,7/25/2019 0:00,6/10/2019 0:00,6/10/2019 0:00,0,FALSE,STT6,Luminaire Rebuild,STTC3,Reactive Maintenance,STTP6,Deteriorated Luminaire,,,POLES1673,,,,,,,,,,,,,,,,,,,
18-000380,999,Complete,STT7,Street Lighting,OPSTT,Traffic,STT,Traffic,,,4.76,0,0.1,4.76,0,0,0,0,7/16/2018 0:00,12/14/2018 0:00,7/16/2018 0:00,7/16/2018 0:00,0,FALSE,STT25,Record Keeping,STTC1,Systematic Maintenance,STTP30,Check/Inspect Operation,,505  Oakland,POLES1756,,,,,505,,Oakland,,,,,,,,,,,,
18-000465,999,Complete,STTOT,Traffic Other Tasks,OPSTT,Traffic,STT,Traffic,,,55.51,0,0.5,17.87,15.64,22,0,0,7/20/2018 0:00,12/17/2018 0:00,7/16/2018 0:00,7/16/2018 0:00,0,FALSE,STT3,Streetlight Relamps,STTC3,Reactive Maintenance,STTP1,Systematic Relamps,,505  Oakland,POLES1756,,,,,505,,Oakland,,,,,,,,,,,,
18-001020,999,Complete,STT7,Street Lighting,OPSTT,Traffic,STT,Traffic,,,206.66,0,3,112.82,93.84,0,0,0,9/7/2018 0:00,12/17/2018 0:00,9/7/2018 0:00,9/7/2018 0:00,0,FALSE,STT6,Luminaire Rebuild,STTC3,Reactive Maintenance,STTP5,Streetlight Out,,,POLES183,,,,,,,,,,,,,,,,,,,
18-001155,999,Complete,STT7,Street Lighting,OPSTT,Traffic,STT,Traffic,,,30.59,0,0.33,11.79,10.32,8.48,0,0,9/21/2018 0:00,9/27/2018 0:00,9/10/2018 0:00,,0,FALSE,STT3,Streetlight Relamps,STTC3,Reactive Maintenance,STTP1,Systematic Relamps,,,POLES1871,,,,,,,,,,,,,,,,,,,
