Work Order Number,Status,Status Text,Category Code,Category Text,Division,Division Text,Department,Department Text,Priority,Priority Text,Total Cost,Quantity,Actual Labor Hours,Actual Labor Cost,Actual Equip Cost,Actual Material Cost,Contractor Cost,Misc. Cost,Creation Date,Status Date,Start Date,End Date,Duration Actual(Hrs),Billing Required,Main Task,Main Task Text,Cause,Cause Text,Problem,Problem Text,Desc 1,Desc 2,Asset,Assigned Crew,Assigned Crew Text,Supervisor,LeadWorker Id,Street Address,Street Direction,Street Name,Street Type,Loc Zip Code,Street 2 Direction,Street 2 Name,Street 2 Type,Project Number,Building Number,Facility Location,Route (Geographic),Route (Geographic) Text,PM Trigger,PM Trigger Text
18-001136,999,Complete,PKGMTR,Parking Meters,FACPKG,Parking,PKG,Parking Meters,,,11.85,1,0.2,7.26,2.59,2,0,0,9/20/2018 0:00,9/20/2018 0:00,9/4/2018 0:00,9/4/2018 0:00,0,FALSE,PKGT1,replace battery,PKGC2,Meter Crew,,,Parking Meter,Parking Meter,1025,,,,,,,,,,,,,,,,,,,
18-002115,999,Complete,PKGMTR,Parking Meters,FACPKG,Parking,PKG,Parking Meters,,,7.87,1,0.2,3.28,2.59,2,0,0,12/14/2018 0:00,12/14/2018 0:00,12/12/2018 0:00,12/12/2018 0:00,0,FALSE,PKGT1,replace battery,PKGC2,Meter Crew,,,Parking Meter,Parking Meter,1029,,,,,,,,,,,,,,,,,,,
18-001732,999,Complete,PKGMTR,Parking Meters,FACPKG,Parking,PKG,Parking Meters,,,11.85,1,0.2,7.26,2.59,2,0,0,10/30/2018 0:00,10/30/2018 0:00,10/17/2018 0:00,10/17/2018 0:00,0,FALSE,PKGT1,replace battery,PKGC2,Meter Crew,,,Parking Meter,Parking Meter,1032,,,,,,,,,,,,,,,,,,,
18-001697,999,Complete,PKGMTR,Parking Meters,FACPKG,Parking,PKG,Parking Meters,,,11.85,1,0.2,7.26,2.59,2,0,0,10/26/2018 0:00,10/26/2018 0:00,10/17/2018 0:00,10/17/2018 0:00,0,FALSE,PKGT1,replace battery,PKGC2,Meter Crew,,,Parking Meter,Parking Meter,1032,,,,,,,,,,,,,,,,,,,
18-002037,999,Complete,PKGMTR,Parking Meters,FACPKG,Parking,PKG,Parking Meters,,,9.85,1,0.2,7.26,2.59,0,0,0,12/7/2018 0:00,12/7/2018 0:00,11/14/2018 0:00,11/14/2018 0:00,0,FALSE,PKGT16,other,PKGC2,Meter Crew,,,Parking Meter,Parking Meter,1037,,,,,,,,,,,,,,,,,,,
19-000033,999,Complete,PKGMTR,Parking Meters,FACPKG,Parking,PKG,Parking Meters,,,67.98,4,1,45.05,12.93,10,0,0,1/4/2019 0:00,8/5/2019 0:00,1/3/2019 0:00,1/3/2019 0:00,0,FALSE,PKGT11,reinstall post,PKGC1,Planned Maintenance,,,Parking Meter,Parking Meter,1038,,,,50,,,,,,,,,,,,,,,
18-000516,999,Complete,PKGMTR,Parking Meters,FACPKG,Parking,PKG,Parking Meters,,,62.23,6,1.2,42.47,7.76,12,0,0,7/24/2018 0:00,7/24/2018 0:00,7/24/2018 0:00,7/24/2018 0:00,0,FALSE,PKGT1,replace battery,PKGC2,Meter Crew,,,Parking Meter,Parking Meter,1040,,,,,,,,,,,,,,,,,,,
19-001317,999,Complete,PKGMTR,Parking Meters,FACPKG,Parking,PKG,Parking Meters,,,9.01,1,0.2,9.01,0,0,0,0,8/27/2019 0:00,8/27/2019 0:00,8/27/2019 0:00,8/27/2019 0:00,0,FALSE,PKGT2,clear coin jam,PLGC3,Finance Office,,,Parking Meter,Parking Meter,2002,,,,50,,,,,,,,,,,,,,,
19-001273,999,Complete,PKGMTR,Parking Meters,FACPKG,Parking,PKG,Parking Meters,,,9.01,1,0.2,9.01,0,0,0,0,8/19/2019 0:00,8/19/2019 0:00,8/16/2019 0:00,8/19/2019 0:00,24,FALSE,PKGT2,clear coin jam,PLGC3,Finance Office,,,Parking Meter,Parking Meter,2002,,,,50,,,,,,,,,,,,,,,
19-001266,999,Complete,PKGMTR,Parking Meters,FACPKG,Parking,PKG,Parking Meters,,,16.84,1,0.4,14.25,2.59,0,0,0,8/16/2019 0:00,8/16/2019 0:00,8/15/2019 0:00,8/15/2019 0:00,0,FALSE,PKGT2,clear coin jam,PKGC2,Meter Crew,,,Parking Meter,Parking Meter,2002,,,,72,,,,,,,,,,,,,,,
19-000557,999,Complete,PKGMTR,Parking Meters,FACPKG,Parking,PKG,Parking Meters,,,114.25,1,1,36.32,12.93,65,0,0,3/29/2019 0:00,3/29/2019 0:00,3/29/2019 0:00,3/29/2019 0:00,0,FALSE,PKGT6,replace mechanism,PKGC2,Meter Crew,,,Parking Meter,Parking Meter,2003,,,,,,,,,,,,,,,,,,,
18-000171,999,Complete,PKGMTR,Parking Meters,FACPKG,Parking,PKG,Parking Meters,,,53.91,8,0.8,27.57,10.34,16,0,0,6/28/2018 0:00,6/28/2018 0:00,6/28/2018 0:00,6/28/2018 0:00,0,FALSE,PKGT1,replace battery,PLGC3,Finance Office,,,Parking Meter,Parking Meter,2004,,,,,,,,,,,,,,,,,,,
19-001242,999,Complete,PKGMTR,Parking Meters,FACPKG,Parking,PKG,Parking Meters,,,198.7,12,2.4,66.7,0,132,0,0,8/12/2019 0:00,8/12/2019 0:00,,,0,FALSE,PKGT9,dome replacement,PKGC2,Meter Crew,,,Parking Meter,Parking Meter,2004,,,,72,,,,,,,,,,,,,,,
19-001115,999,Complete,PKGMTR,Parking Meters,FACPKG,Parking,PKG,Parking Meters,,,172.19,15,3,103.4,38.79,30,0,0,7/31/2019 0:00,7/31/2019 0:00,6/28/2019 0:00,6/28/2019 0:00,0,FALSE,PKGT1,replace battery,PLGC3,Finance Office,,,Parking Meter,Parking Meter,2006,,,,50,,,,,,,,,,,,,,,
18-002034,999,Complete,PKGMTR,Parking Meters,FACPKG,Parking,PKG,Parking Meters,,,11.85,1,0.2,7.26,2.59,2,0,0,12/7/2018 0:00,12/7/2018 0:00,11/14/2018 0:00,11/14/2018 0:00,0,FALSE,PKGT1,replace battery,PKGC2,Meter Crew,,,Parking Meter,Parking Meter,2007,,,,,,,,,,,,,,,,,,,
18-001135,999,Complete,PKGMTR,Parking Meters,FACPKG,Parking,PKG,Parking Meters,,,11.85,1,0.2,7.26,2.59,2,0,0,9/20/2018 0:00,9/20/2018 0:00,9/4/2018 0:00,9/4/2018 0:00,0,FALSE,PKGT1,replace battery,PKGC2,Meter Crew,,,Parking Meter,Parking Meter,2008,,,,,,,,,,,,,,,,,,,
18-000621,999,Complete,PKGMTR,Parking Meters,FACPKG,Parking,PKG,Parking Meters,,,7.26,1,0.2,7.26,0,0,0,0,8/3/2018 0:00,8/3/2018 0:00,7/31/2018 0:00,7/31/2018 0:00,0,FALSE,PKGT1,replace battery,PKGC2,Meter Crew,,,Parking Meter,Parking Meter,2014,,,,,,,,,,,,,,,,,,,
19-001313,999,Complete,PKGMTR,Parking Meters,FACPKG,Parking,PKG,Parking Meters,,,9.01,1,0.2,9.01,0,0,0,0,8/27/2019 0:00,8/27/2019 0:00,8/26/2019 0:00,8/27/2019 0:00,8,FALSE,PKGT2,clear coin jam,PLGC3,Finance Office,,,Parking Meter,Parking Meter,2015,,,,50,,,,,,,,,,,,,,,
18-001733,999,Complete,PKGMTR,Parking Meters,FACPKG,Parking,PKG,Parking Meters,,,11.85,1,0.2,7.26,2.59,2,0,0,10/30/2018 0:00,10/30/2018 0:00,10/17/2018 0:00,10/17/2018 0:00,0,FALSE,PKGT1,replace battery,PKGC2,Meter Crew,,,Parking Meter,Parking Meter,5005,,,,,,,,,,,,,,,,,,,
18-001698,999,Complete,PKGMTR,Parking Meters,FACPKG,Parking,PKG,Parking Meters,,,11.85,1,0.2,7.26,2.59,2,0,0,10/26/2018 0:00,10/26/2018 0:00,10/17/2018 0:00,10/17/2018 0:00,0,FALSE,PKGT1,replace battery,PKGC2,Meter Crew,,,Parking Meter,Parking Meter,5005,,,,,,,,,,,,,,,,,,,
18-001923,999,Complete,PKGMTR,Parking Meters,FACPKG,Parking,PKG,Parking Meters,,,7.87,1,0.2,3.28,2.59,2,0,0,11/27/2018 0:00,11/27/2018 0:00,11/21/2018 0:00,11/21/2018 0:00,0,FALSE,PKGT1,replace battery,PKGC1,Planned Maintenance,,,Parking Meter,Parking Meter,5006,,,,,,,,,,,,,,,,,,,
18-001589,999,Complete,PKGMTR,Parking Meters,FACPKG,Parking,PKG,Parking Meters,,,11.85,1,0.2,7.26,2.59,2,0,0,10/23/2018 0:00,10/23/2018 0:00,9/18/2018 0:00,9/18/2018 0:00,0,FALSE,PKGT1,replace battery,PKGC2,Meter Crew,,,Parking Meter,Parking Meter,5009,,,,,,,,,,,,,,,,,,,
18-001591,999,Complete,PKGMTR,Parking Meters,FACPKG,Parking,PKG,Parking Meters,,,11.85,1,0.2,7.26,2.59,2,0,0,10/23/2018 0:00,10/23/2018 0:00,9/18/2018 0:00,9/18/2018 0:00,0,FALSE,PKGT1,replace battery,PKGC2,Meter Crew,,,Parking Meter,Parking Meter,5010,,,,,,,,,,,,,,,,,,,
18-001734,999,Complete,PKGMTR,Parking Meters,FACPKG,Parking,PKG,Parking Meters,,,11.85,1,0.2,7.26,2.59,2,0,0,10/30/2018 0:00,10/30/2018 0:00,10/17/2018 0:00,10/17/2018 0:00,0,FALSE,PKGT1,replace battery,PKGC2,Meter Crew,,,Parking Meter,Parking Meter,5011,,,,,,,,,,,,,,,,,,,
18-000330,999,Complete,STT6,Signs,OPSGN,Signs,STT,Traffic,,,0,0,0,0,0,0,0,0,7/11/2018 0:00,10/23/2018 0:00,,,0,FALSE,,,,,,,R1-1,,7151,,,,,,,,,,,,,,,,,,,
18-001594,999,Complete,PKGMTR,Parking Meters,FACPKG,Parking,PKG,Parking Meters,,,9.85,1,0.2,7.26,2.59,0,0,0,10/23/2018 0:00,10/23/2018 0:00,9/5/2018 0:00,9/5/2018 0:00,0,FALSE,PKGT2,clear coin jam,PKGC2,Meter Crew,,,Parking Meter,Parking Meter,9006,,,,,,,,,,,,,,,,,,,
19-001057,999,Complete,PKGMTR,Parking Meters,FACPKG,Parking,PKG,Parking Meters,,,44.09,3,1.2,30.33,7.76,6,0,0,7/26/2019 0:00,7/26/2019 0:00,6/5/2019 0:00,6/5/2019 0:00,0,FALSE,PKGT1,replace battery,,,,,Parking Meter,Parking Meter,9008,,,,72,,,,,,,,,,,,,,,
18-001141,999,Complete,PKGMTR,Parking Meters,FACPKG,Parking,PKG,Parking Meters,,,11.85,1,0.2,7.26,2.59,2,0,0,9/20/2018 0:00,9/20/2018 0:00,9/4/2018 0:00,9/4/2018 0:00,0,FALSE,PKGT1,replace battery,PKGC2,Meter Crew,,,Parking Meter,Parking Meter,9009,,,,,,,,,,,,,,,,,,,
18-000853,999,Complete,PKGMTR,Parking Meters,FACPKG,Parking,PKG,Parking Meters,,,9.85,1,0.2,7.26,2.59,0,0,0,8/21/2018 0:00,8/21/2018 0:00,8/21/2018 0:00,8/21/2018 0:00,0,FALSE,PKGT15,generic reset,PKGC2,Meter Crew,,,Parking Meter,Parking Meter,9009,,,,,,,,,,,,,,,,,,,
19-001211,999,Complete,PKGMTR,Parking Meters,FACPKG,Parking,PKG,Parking Meters,,,18.84,1,0.4,14.25,2.59,2,0,0,8/7/2019 0:00,8/7/2019 0:00,8/7/2019 0:00,8/7/2019 0:00,0,FALSE,PKGT1,replace battery,PKGC1,Planned Maintenance,,,Parking Meter,Parking Meter,9010,,,,72,,,,,,,,,,,,,,,
18-001140,999,Complete,PKGMTR,Parking Meters,FACPKG,Parking,PKG,Parking Meters,,,9.26,1,0.2,7.26,0,2,0,0,9/20/2018 0:00,9/20/2018 0:00,9/4/2018 0:00,9/4/2018 0:00,0,FALSE,PKGT1,replace battery,PKGC2,Meter Crew,,,Parking Meter,Parking Meter,9018,,,,,,,,,,,,,,,,,,,
18-002030,999,Complete,PKGMTR,Parking Meters,FACPKG,Parking,PKG,Parking Meters,,,11.85,1,0.2,7.26,2.59,2,0,0,12/7/2018 0:00,12/7/2018 0:00,11/14/2018 0:00,11/14/2018 0:00,0,FALSE,PKGT1,replace battery,PKGC2,Meter Crew,,,Parking Meter,Parking Meter,9023,,,,,,,,,,,,,,,,,,,
18-000121,999,Complete,PKGMTR,Parking Meters,FACPKG,Parking,PKG,Parking Meters,,,165.96,16,3.2,113.27,20.69,32,0,0,6/26/2018 0:00,6/26/2018 0:00,6/26/2018 0:00,6/26/2018 0:00,0,FALSE,PKGT1,replace battery,PKGC2,Meter Crew,,,Parking Meter,Parking Meter,9024,,,,,,,,,,,,,,,,,,,
19-000713,999,Complete,PKGMTR,Parking Meters,FACPKG,Parking,PKG,Parking Meters,,,170.69,9,1,36.32,116.37,18,0,0,5/7/2019 0:00,5/7/2019 0:00,5/7/2019 0:00,5/7/2019 0:00,0,FALSE,PKGT1,replace battery,PKGC2,Meter Crew,,,Parking Meter,Parking Meter,9026,,,,,,,,,,,,,,,,,,,
19-001116,999,Complete,PKGMTR,Parking Meters,FACPKG,Parking,PKG,Parking Meters,,,37.91,4,0.8,27.57,10.34,0,0,0,7/31/2019 0:00,7/31/2019 0:00,6/28/2019 0:00,6/28/2019 0:00,0,FALSE,PKGT15,generic reset,PLGC3,Finance Office,,,Parking Meter,Parking Meter,9026,,,,50,,,,,,,,,,,,,,,
18-001592,999,Complete,PKGMTR,Parking Meters,FACPKG,Parking,PKG,Parking Meters,,,11.85,1,0.2,7.26,2.59,2,0,0,10/23/2018 0:00,10/23/2018 0:00,9/18/2018 0:00,9/18/2018 0:00,0,FALSE,PKGT1,replace battery,PKGC2,Meter Crew,,,Parking Meter,Parking Meter,9028,,,,,,,,,,,,,,,,,,,
18-001139,999,Complete,PKGMTR,Parking Meters,FACPKG,Parking,PKG,Parking Meters,,,20.1,1,0.4,14.52,5.18,0.4,0,0,9/20/2018 0:00,9/20/2018 0:00,9/4/2018 0:00,9/4/2018 0:00,0,FALSE,PKGT1,replace battery,PKGC2,Meter Crew,,,Parking Meter,Parking Meter,9029,,,,,,,,,,,,,,,,,,,
18-000851,999,Complete,PKGMTR,Parking Meters,FACPKG,Parking,PKG,Parking Meters,,,11.85,1,0.2,7.26,2.59,2,0,0,8/21/2018 0:00,8/21/2018 0:00,8/21/2018 0:00,8/21/2018 0:00,0,FALSE,PKGT1,replace battery,PKGC2,Meter Crew,,,Parking Meter,Parking Meter,9033,,,,,,,,,,,,,,,,,,,
18-001593,999,Complete,PKGMTR,Parking Meters,FACPKG,Parking,PKG,Parking Meters,,,11.85,1,0.2,7.26,2.59,2,0,0,10/23/2018 0:00,10/23/2018 0:00,9/18/2018 0:00,9/18/2018 0:00,0,FALSE,PKGT1,replace battery,PKGC2,Meter Crew,,,Parking Meter,Parking Meter,9036,,,,,,,,,,,,,,,,,,,
18-002111,999,Complete,PKGMTR,Parking Meters,FACPKG,Parking,PKG,Parking Meters,,,50.25,1,1,36.32,12.93,1,0,0,12/14/2018 0:00,12/14/2018 0:00,12/13/2018 0:00,12/13/2018 0:00,0,FALSE,PKGT16,other,PKGC2,Meter Crew,,,Parking Meter,Parking Meter,9039,,,,,,,,,,,,,,,,,,,
18-000852,999,Complete,PKGMTR,Parking Meters,FACPKG,Parking,PKG,Parking Meters,,,9.85,1,0.2,7.26,2.59,0,0,0,8/21/2018 0:00,8/21/2018 0:00,8/21/2018 0:00,8/21/2018 0:00,0,FALSE,PKGT15,generic reset,PKGC2,Meter Crew,,,Parking Meter,Parking Meter,9042,,,,,,,,,,,,,,,,,,,
18-000850,999,Complete,PKGMTR,Parking Meters,FACPKG,Parking,PKG,Parking Meters,,,9.85,1,0.2,7.26,2.59,0,0,0,8/21/2018 0:00,8/21/2018 0:00,8/21/2018 0:00,8/21/2018 0:00,0,FALSE,PKGT15,generic reset,PKGC2,Meter Crew,,,Parking Meter,Parking Meter,9050,,,,,,,,,,,,,,,,,,,
18-000196,999,Complete,PKGMTR,Parking Meters,FACPKG,Parking,PKG,Parking Meters,,,9.65,1,0.2,9.65,0,0,0,0,7/2/2018 0:00,7/2/2018 0:00,6/30/2018 0:00,6/30/2018 0:00,0,FALSE,PKGT1,replace battery,PKGC2,Meter Crew,,,Parking Meter,Parking Meter,9051,,,,,,,,,,,,,,,,,,,
18-002110,999,Complete,PKGMTR,Parking Meters,FACPKG,Parking,PKG,Parking Meters,,,11.85,1,0.2,7.26,2.59,2,0,0,12/14/2018 0:00,12/14/2018 0:00,12/13/2018 0:00,12/13/2018 0:00,0,FALSE,PKGT1,replace battery,PKGC2,Meter Crew,,,Parking Meter,Parking Meter,9054,,,,,,,,,,,,,,,,,,,
18-002031,999,Complete,PKGMTR,Parking Meters,FACPKG,Parking,PKG,Parking Meters,,,11.85,1,0.2,7.26,2.59,2,0,0,12/7/2018 0:00,12/7/2018 0:00,11/14/2018 0:00,11/14/2018 0:00,0,FALSE,PKGT1,replace battery,PKGC2,Meter Crew,,,Parking Meter,Parking Meter,9061,,,,,,,,,,,,,,,,,,,
18-000849,999,Complete,PKGMTR,Parking Meters,FACPKG,Parking,PKG,Parking Meters,,,11.85,1,0.2,7.26,2.59,2,0,0,8/21/2018 0:00,8/21/2018 0:00,8/21/2018 0:00,8/21/2018 0:00,0,FALSE,PKGT1,replace battery,PKGC2,Meter Crew,,,Parking Meter,Parking Meter,9073,,,,,,,,,,,,,,,,,,,
18-001117,999,Complete,PKGMTR,Parking Meters,FACPKG,Parking,PKG,Parking Meters,,,11.85,1,0.2,7.26,2.59,2,0,0,9/20/2018 0:00,9/20/2018 0:00,9/18/2018 0:00,9/18/2018 0:00,0,FALSE,PKGT1,replace battery,PKGC2,Meter Crew,,,Parking Meter,Parking Meter,10001,,,,,,,,,,,,,,,,,,,
18-000696,999,Complete,PKGMTR,Parking Meters,FACPKG,Parking,PKG,Parking Meters,,,137.87,10,4,137.87,0,0,0,0,8/10/2018 0:00,8/10/2018 0:00,8/9/2018 0:00,8/9/2018 0:00,0,FALSE,PKGT10,paint post,PKGC2,Meter Crew,,,Parking Meter,Parking Meter,10001,,,,,,,,,,,,,,,,,,,
18-000426,999,Complete,PKGMTR,Parking Meters,FACPKG,Parking,PKG,Parking Meters,,,47.4,10,1,34.47,12.93,0,0,0,7/18/2018 0:00,7/18/2018 0:00,7/18/2018 0:00,7/18/2018 0:00,0,FALSE,PKGT15,generic reset,PLGC3,Finance Office,,,Parking Meter,Parking Meter,10001,,,,,,,,,,,,,,,,,,,
18-002131,999,Complete,PKGMTR,Parking Meters,FACPKG,Parking,PKG,Parking Meters,,,74.63,10,0.5,18.16,6.47,50,0,0,12/17/2018 0:00,12/17/2018 0:00,12/17/2018 0:00,12/17/2018 0:00,0,FALSE,PKGT16,other,PKGC1,Planned Maintenance,,,Parking Meter,Parking Meter,10001,,,,,,,,,,,,,,,,,,,
18-001730,999,Complete,PKGMTR,Parking Meters,FACPKG,Parking,PKG,Parking Meters,,,11.85,1,0.2,7.26,2.59,2,0,0,10/30/2018 0:00,10/30/2018 0:00,10/17/2018 0:00,10/17/2018 0:00,0,FALSE,PKGT1,replace battery,PKGC2,Meter Crew,,,Parking Meter,Parking Meter,10002,,,,,,,,,,,,,,,,,,,
18-001695,999,Complete,PKGMTR,Parking Meters,FACPKG,Parking,PKG,Parking Meters,,,11.85,1,0.2,7.26,2.59,2,0,0,10/26/2018 0:00,10/26/2018 0:00,10/17/2018 0:00,10/17/2018 0:00,0,FALSE,PKGT1,replace battery,PKGC2,Meter Crew,,,Parking Meter,Parking Meter,10002,,,,,,,,,,,,,,,,,,,
18-000429,999,Complete,PKGMTR,Parking Meters,FACPKG,Parking,PKG,Parking Meters,,,49.4,1,1,34.47,12.93,2,0,0,7/18/2018 0:00,7/18/2018 0:00,7/17/2018 0:00,7/17/2018 0:00,0,FALSE,PKGT1,replace battery,PKGC2,Meter Crew,,,Parking Meter,Parking Meter,10003,,,,,,,,,,,,,,,,,,,
18-000978,999,Complete,PKGMTR,Parking Meters,FACPKG,Parking,PKG,Parking Meters,,,9.85,1,0.2,7.26,2.59,0,0,0,8/31/2018 0:00,8/31/2018 0:00,8/28/2018 0:00,8/28/2018 0:00,0,FALSE,PKGT5,inspect and no problem found,PLGC3,Finance Office,,,Parking Meter,Parking Meter,10004,,,,,,,,,,,,,,,,,,,
19-000679,999,Complete,PKGMTR,Parking Meters,FACPKG,Parking,PKG,Parking Meters,,,11.85,1,0.2,7.26,2.59,2,0,0,4/26/2019 0:00,4/26/2019 0:00,4/25/2019 0:00,4/25/2019 0:00,0,FALSE,PKGT1,replace battery,PLGC3,Finance Office,,,Parking Meter,Parking Meter,10005,,,,,,,,,,,,,,,,,,,
18-002027,999,Complete,PKGMTR,Parking Meters,FACPKG,Parking,PKG,Parking Meters,,,11.85,1,0.2,7.26,2.59,2,0,0,12/7/2018 0:00,12/7/2018 0:00,11/14/2018 0:00,11/14/2018 0:00,0,FALSE,PKGT1,replace battery,PKGC2,Meter Crew,,,Parking Meter,Parking Meter,10007,,,,,,,,,,,,,,,,,,,
18-001741,999,Complete,PKGMTR,Parking Meters,FACPKG,Parking,PKG,Parking Meters,,,11.85,1,0.2,7.26,2.59,2,0,0,10/30/2018 0:00,12/31/2018 0:00,10/24/2018 0:00,10/24/2018 0:00,0,FALSE,PKGT1,replace battery,PKGC2,Meter Crew,,,Parking Meter,Parking Meter,10009,,,,,,,,,,,,,,,,,,,
19-001031,999,Complete,PKGMTR,Parking Meters,FACPKG,Parking,PKG,Parking Meters,,,100.69,3,2.75,80.99,9.7,10,0,0,7/23/2019 0:00,7/23/2019 0:00,7/22/2019 0:00,7/23/2019 0:00,8,TRUE,PKGT4,straighten post,PKGC2,Meter Crew,,,Parking Meter,Parking Meter,10009,,,,50,,,,,,,,,,,,,,,
18-001133,999,Complete,PKGMTR,Parking Meters,FACPKG,Parking,PKG,Parking Meters,,,10.25,1,0.2,7.26,2.59,0.4,0,0,9/20/2018 0:00,9/20/2018 0:00,9/4/2018 0:00,9/4/2018 0:00,0,FALSE,PKGT1,replace battery,PKGC2,Meter Crew,,,Parking Meter,Parking Meter,10012,,,,,,,,,,,,,,,,,,,
19-000183,999,Complete,PKGMTR,Parking Meters,FACPKG,Parking,PKG,Parking Meters,,,40.83,4,1,26.36,6.47,8,0,0,2/5/2019 0:00,2/5/2019 0:00,2/5/2019 0:00,2/5/2019 0:00,0,FALSE,PKGT1,replace battery,PKGC2,Meter Crew,,,Parking Meter,Parking Meter,10014,,,,,,,,,,,,,,,,,,,
18-001742,999,Complete,PKGMTR,Parking Meters,FACPKG,Parking,PKG,Parking Meters,,,11.85,1,0.2,7.26,2.59,2,0,0,10/30/2018 0:00,10/30/2018 0:00,10/24/2018 0:00,10/24/2018 0:00,0,FALSE,PKGT1,replace battery,PKGC2,Meter Crew,,,Parking Meter,Parking Meter,10015,,,,,,,,,,,,,,,,,,,
19-001097,999,Complete,PKGMTR,Parking Meters,FACPKG,Parking,PKG,Parking Meters,,,25.39,2,0.8,20.22,5.17,0,0,0,7/31/2019 0:00,7/31/2019 0:00,6/20/2019 0:00,6/20/2019 0:00,0,FALSE,PKGT2,clear coin jam,PKGC2,Meter Crew,,,Parking Meter,Parking Meter,10017,,,,72,,,,,,,,,,,,,,,
19-000105,999,Complete,PKGMTR,Parking Meters,FACPKG,Parking,PKG,Parking Meters,,,26.67,6,0.5,8.2,6.47,12,0,0,1/16/2019 0:00,1/16/2019 0:00,1/16/2019 0:00,1/16/2019 0:00,0,FALSE,PKGT1,replace battery,PKGC2,Meter Crew,,,Parking Meter,Parking Meter,10018,,,,,,,,,,,,,,,,,,,
19-000370,999,Complete,PKGMTR,Parking Meters,FACPKG,Parking,PKG,Parking Meters,,,0,4,0,0,0,0,0,0,2/21/2019 0:00,4/15/2019 0:00,2/21/2019 0:00,2/21/2019 0:00,0,FALSE,PKGT7,replace housing,PKGC1,Planned Maintenance,,,Parking Meter,Parking Meter,10021,,,,,,,,,,,,,,,,,,,
19-000368,999,Complete,PKGMTR,Parking Meters,FACPKG,Parking,PKG,Parking Meters,,,24.63,6,0.5,18.16,6.47,0,0,0,2/21/2019 0:00,2/21/2019 0:00,2/21/2019 0:00,2/21/2019 0:00,0,FALSE,PKGT15,generic reset,PKGC2,Meter Crew,,,Parking Meter,Parking Meter,10022,,,,,,,,,,,,,,,,,,,
19-000179,999,Complete,PKGMTR,Parking Meters,FACPKG,Parking,PKG,Parking Meters,,,32.83,2,1,26.36,6.47,0,0,0,2/5/2019 0:00,2/5/2019 0:00,2/5/2019 0:00,2/5/2019 0:00,0,FALSE,PKGT7,replace housing,PKGC1,Planned Maintenance,,,Parking Meter,Parking Meter,10022,,,,,,,,,,,,,,,,,,,
19-001058,999,Complete,PKGMTR,Parking Meters,FACPKG,Parking,PKG,Parking Meters,,,43.7,1,0.5,17.23,6.47,20,0,0,7/26/2019 0:00,7/26/2019 0:00,6/5/2019 0:00,6/5/2019 0:00,0,FALSE,PKGT16,other,PKGC2,Meter Crew,,,Parking Meter,Parking Meter,10024,,,,50,,,,,,,,,,,,,,,
19-000163,999,Complete,PKGMTR,Parking Meters,FACPKG,Parking,PKG,Parking Meters,,,98.51,1,2,72.65,25.86,0,0,0,2/4/2019 0:00,2/11/2019 0:00,2/1/2019 0:00,2/1/2019 0:00,0,FALSE,PKGT16,other,PKGC1,Planned Maintenance,,,Parking Meter,Parking Meter,10027,,,,,,,,,,,,,,,,,,,
18-000476,999,Complete,PKGMTR,Parking Meters,FACPKG,Parking,PKG,Parking Meters,,,8.37,1,0.2,7.08,1.29,0,0,0,7/20/2018 0:00,7/20/2018 0:00,7/20/2018 0:00,7/20/2018 0:00,0,FALSE,PKGT2,clear coin jam,PLGC3,Finance Office,,,Parking Meter,Parking Meter,11001,,,,,,,,,,,,,,,,,,,
18-000231,999,Complete,PKGMTR,Parking Meters,FACPKG,Parking,PKG,Parking Meters,,,6.89,1,0.2,6.89,0,0,0,0,7/6/2018 0:00,7/6/2018 0:00,7/5/2018 0:00,7/5/2018 0:00,0,FALSE,PKGT2,clear coin jam,PKGC2,Meter Crew,,,Parking Meter,Parking Meter,11001,,,,,,,,,,,,,,,,,,,
18-001557,999,Complete,PKGMTR,Parking Meters,FACPKG,Parking,PKG,Parking Meters,,,9.85,1,0.2,7.26,2.59,0,0,0,10/23/2018 0:00,10/23/2018 0:00,9/4/2018 0:00,9/4/2018 0:00,0,FALSE,PKGT2,clear coin jam,PKGC2,Meter Crew,,,Parking Meter,Parking Meter,11002,,,,,,,,,,,,,,,,,,,
18-002035,999,Complete,PKGMTR,Parking Meters,FACPKG,Parking,PKG,Parking Meters,,,11.85,1,0.2,7.26,2.59,2,0,0,12/7/2018 0:00,12/7/2018 0:00,11/14/2018 0:00,11/14/2018 0:00,0,FALSE,PKGT1,replace battery,PKGC2,Meter Crew,,,Parking Meter,Parking Meter,11003,,,,,,,,,,,,,,,,,,,
18-002036,999,Complete,PKGMTR,Parking Meters,FACPKG,Parking,PKG,Parking Meters,,,11.85,1,0.2,7.26,2.59,2,0,0,12/7/2018 0:00,12/7/2018 0:00,11/14/2018 0:00,11/14/2018 0:00,0,FALSE,PKGT1,replace battery,PKGC2,Meter Crew,,,Parking Meter,Parking Meter,11005,,,,,,,,,,,,,,,,,,,
18-000620,999,Complete,PKGMTR,Parking Meters,FACPKG,Parking,PKG,Parking Meters,,,7.26,1,0.2,7.26,0,0,0,0,8/3/2018 0:00,8/3/2018 0:00,7/31/2018 0:00,7/31/2018 0:00,0,FALSE,PKGT2,clear coin jam,PKGC2,Meter Crew,,,Parking Meter,Parking Meter,11005,,,,,,,,,,,,,,,,,,,
